TimeStep,"Blacktip Shark|Blacktip shark","Dusky Shark|Dusky shark","Sandbar Shark|Sandbar shark","Large Coastal Sharks|Large coastal sharks","Large Oceanic Sharks|Large oceanic sharks","Atlantic Sharpnose Shark|Atlantic sharpnose shark","Small Coastal Sharks|Small coastal sharks","Yellowfin Tuna|Yellowfin tuna","Bluefin Tuna|Bluefin tuna","Other Tunas|Other tunas",Billfish|Billfish,Swordfish|Swordfish,"Pelagic Coastal Piscivores|Pelagic coastal piscivores",Amberjack|Amberjack,Cobia|Cobia,"King Mackerel (1+)|King mackerel (1+yr)","Spanish Mackerel (0-1)|Spanish mackerel (0-1yr)","Spanish Mackerel (1+)|Spanish mackerel (1+yr)",Skates-rays|Skates-rays,"Gag grouper (0-3yr)|Gag grouper (0-3yr)","Gag grouper (3+yr)|Gag grouper (3+yr)","Red grouper (3+yr)|Red grouper (3+yr)","Yellowedge grouper (0-3yr)|Yellowedge grouper (0-3yr)","Yellowedge grouper (3+yr)|Yellowedge grouper (3+yr)","Goliath grouper|Goliath grouper","Deep-water grouper|Deep-water grouper","Shallow-water grouper|Shallow-water grouper","Red snapper (0yr)|Red snapper (0yr)","Red snapper (1-2yr)|Red snapper (1-2yr)","Red snapper (3+yr)|Red snapper (3+yr)","Vermilion snapper|Vermilion snapper","Mutton snapper|Mutton snapper","Other snapper|Other snapper","Inshore coastal piscivores|Inshore coastal piscivores","Sea trout|Sea trout","Oceanic piscivores|Oceanic piscivores","Benthic piscivores|Benthic piscivores","Reef piscivores|Reef piscivores","Reef invertebrate feeders|Reef invertebrate feeders","Demersal coastal invertebrate feeders|Demersal coastal invertebrate feeders","Red drum|Red drum","Benthic coastal invertebrate feeders|Benthic coastal invertebrate feeders",Tilefish|Tilefish,"Gray triggerfish|Gray triggerfish","Coastal omnivores|Coastal omnivores","Reef omnivores|Reef omnivores","Surface pelagics|Surface pelagics",Sardine-herring-scad|Sardine-herring-scad,"Menhaden (0yr)|Menhaden (0yr)","Menhaden (1yr)|Menhaden (1yr)","Menhaden (2yr)|Menhaden (2yr)","Menhaden (3yr)|Menhaden (3yr)","Menhaden (4yr)|Menhaden (4yr)",Anchovy-silverside-killifish|Anchovy-silverside-killifish,Mullet|Mullet,Butterfish|Butterfish,Cephalopod|Cephalopod,"Pink shrimp|Pink shrimp","Brown shrimp|Brown shrimp","White shrimp|White shrimp",Crab|Crab,"Sessile epifauna|Sessile epifauna","Mobile epifauna|Mobile epifauna"
11,4.173689E-05,0.0001243553,5.889049E-05,0.000523633,1.459467E-06,0.0003684379,5.728859E-05,0.004635858,5.623433E-06,0.004791935,0.0006392484,0.006523037,0.00479521,0.003882742,0.001358358,0.003972194,5.578323E-07,2.199621E-05,8.110993E-05,3.804149E-05,0.001647241,0.004156128,1.422312E-09,0.0007676905,9.360602E-05,0.001504182,0.001615777,3.743331E-08,0.002255974,0.00984033,0.001226956,0.001995524,0.0007189701,0.007166926,0.05728796,0.00161565,0.001043807,0.001251135,0.0002647805,0.01172822,0.004963553,0.005257122,1.016834E-05,0.0006417667,0.05760232,1.846322E-05,0.0002869852,0.0001766118,0.002084914,0.4680898,0.4321462,0.0545709,0.01586334,1.951132E-08,0.002835622,0.0001817406,0.001040052,0.3741729,0.08899128,0.1032696,0.1130222,0.01203948,0.01844106
12,4.16308E-05,0.0001242949,5.925034E-05,0.000523894,1.45841E-06,0.0003687656,5.716513E-05,0.004624371,5.691922E-06,0.004914134,0.0006384847,0.00656976,0.005172683,0.003860009,0.001369031,0.003987818,5.635816E-07,2.680635E-05,8.161688E-05,3.742127E-05,0.001630946,0.004271063,1.423046E-09,0.0007590421,9.778913E-05,0.001508461,0.001661034,6.592506E-08,0.002719623,0.01007284,0.001226529,0.00201885,0.0007243129,0.007319787,0.05773664,0.001580135,0.00103129,0.00126682,0.0002596163,0.01208242,0.005055087,0.005391055,9.947164E-06,0.0006381591,0.05853456,1.782641E-05,0.0002878243,0.0001632108,0.002019013,0.5316496,0.5123146,0.06619705,0.01681309,2.903804E-08,0.003316307,0.0001865909,0.001037344,0.3684827,0.09232367,0.1030926,0.1109395,0.01271119,0.01830401
13,4.158814E-05,0.0001449819,0.00027166,0.0005242669,2.301075E-06,0.0004571268,5.705962E-05,0.004608368,5.758878E-06,0.005035978,0.0006383058,0.00661844,0.005630499,0.002470949,0.001193232,0.003597012,6.324229E-07,3.660234E-05,8.21329E-05,3.637547E-05,0.001531765,0.004310073,1.424379E-09,0.002420467,0.0003354045,0.001512584,0.001657528,6.171146E-08,0.002840138,0.01060259,0.001342635,0.00192265,0.0007090074,0.007546567,0.05853334,0.001577027,0.001018504,0.001262166,0.0002558028,0.01249395,0.005198137,0.005591687,8.743822E-05,0.001325287,0.05960676,1.730592E-05,0.0002884371,0.0001616807,0.00189669,0.4025164,0.4008308,0.06291497,0.01359389,4.563044E-08,0.003782732,0.0001932906,0.001028441,0.2947558,0.09413184,0.09883907,0.1118146,0.01361599,0.01814002
14,4.158682E-05,0.0001449391,0.0002708004,0.0005246327,2.299346E-06,0.0004569601,5.69877E-05,0.004591954,5.816995E-06,0.005163,0.0006384472,0.006666237,0.006108084,0.002469563,0.001181486,0.003376537,6.922929E-07,3.787743E-05,8.271779E-05,3.435795E-05,0.001520452,0.00423984,1.425641E-09,0.002265929,0.0003114963,0.00151627,0.001617616,4.649213E-08,0.003023498,0.01065454,0.001342009,0.001901112,0.0006726125,0.007780066,0.05953027,0.001577216,0.00101035,0.001228149,0.0002475715,0.01276996,0.005358408,0.005763161,8.52431E-05,0.001299824,0.06085389,1.708774E-05,0.0002843598,0.0001687415,0.001876525,0.38449,0.342486,0.0648711,0.01329762,5.667666E-08,0.003950127,0.0001999294,0.001017817,0.1959758,0.08766822,0.106476,0.1106297,0.01457468,0.0180442
15,4.165266E-05,0.0001448996,0.0002692601,0.0005250367,2.297548E-06,0.0004568106,5.695286E-05,0.004577868,5.866617E-06,0.005294662,0.0006386786,0.006712249,0.006419386,0.00247187,0.001168429,0.003164326,7.410831E-07,3.967698E-05,8.332674E-05,3.250584E-05,0.001508572,0.004118165,1.426886E-09,0.002212547,0.000279027,0.00151937,0.001568175,3.412713E-08,0.003057474,0.01068295,0.001339686,0.001855556,0.0006278522,0.008025197,0.06046966,0.001576553,0.001005836,0.001182438,0.0002369733,0.01314091,0.005518513,0.005995395,8.300705E-05,0.001270945,0.06213737,1.704391E-05,0.0002792299,0.0001791479,0.00194698,0.357772,0.2878264,0.06186086,0.01257275,6.887726E-08,0.004220631,0.0002086685,0.001006603,0.1118222,0.08423609,0.1169477,0.1094941,0.01549261,0.01798722
16,4.173559E-05,0.0001448702,0.0002675894,0.0005255139,2.295672E-06,0.0004565554,5.693047E-05,0.00456677,5.909961E-06,0.005428133,0.0006387781,0.00675558,0.006545401,0.002474714,0.001169305,0.003050326,7.498162E-07,4.14727E-05,8.389503E-05,3.207284E-05,0.001495447,0.004057238,1.42787E-09,0.002159929,0.0002531032,0.001521839,0.0015473,3.105074E-08,0.003092356,0.01073483,0.001336288,0.001811764,0.0005875214,0.008253207,0.0610741,0.001574272,0.00100143,0.001148391,0.0002289546,0.01362709,0.005667574,0.006240728,8.080434E-05,0.00124297,0.06334327,1.697719E-05,0.0002780628,0.0001889409,0.001939661,0.375821,0.3117087,0.07331973,0.01297159,8.44034E-08,0.004702607,0.0002186533,0.0009952226,0.06947199,0.08936048,0.128915,0.107995,0.01632476,0.01789186
17,4.183474E-05,0.000144857,0.000266055,0.0005261091,2.293702E-06,0.0004566319,5.689911E-05,0.004558119,5.948757E-06,0.00556035,0.0006388779,0.006796813,0.006686736,0.002476818,0.001180327,0.003139933,8.001384E-07,4.278663E-05,8.440317E-05,3.28527E-05,0.001485185,0.004134573,1.428999E-09,0.002109064,0.0002407499,0.001523696,0.001588955,3.303218E-08,0.003177718,0.01078308,0.001333933,0.001795433,0.0005717006,0.008470275,0.06156291,0.001578691,0.0009977464,0.001148118,0.0002258472,0.01413207,0.005804376,0.00644296,7.867072E-05,0.001216645,0.06437166,1.683215E-05,0.0002779151,0.0001986307,0.001850205,0.4154605,0.3725846,0.09151746,0.0136721,9.943343E-08,0.005222788,0.0002260884,0.0009839694,0.07408592,0.09238771,0.1416115,0.1059292,0.01703612,0.01775876
18,4.189048E-05,0.0001448299,0.000264523,0.0005266594,2.291642E-06,0.0004564605,5.685658E-05,0.004552362,5.982109E-06,0.005693201,0.0006390738,0.006836199,0.007023568,0.00247768,0.001196673,0.003231436,9.052989E-07,3.958875E-05,8.487815E-05,3.422735E-05,0.001478288,0.004226923,1.430556E-09,0.002060353,0.0002331489,0.001524988,0.001654482,3.12385E-08,0.00316675,0.01080482,0.001332654,0.001803755,0.0005765493,0.008355294,0.06191426,0.001588299,0.0009957763,0.00116063,0.0002276229,0.01454482,0.00575366,0.006376247,7.663379E-05,0.00119211,0.06545518,1.673926E-05,0.0002776798,0.0002090925,0.00169784,0.4471802,0.4232785,0.1114083,0.01452973,1.096308E-07,0.005439989,0.0002309283,0.000977897,0.142818,0.09272861,0.1532941,0.1043909,0.01694209,0.01762292
19,4.180507E-05,0.0001447663,0.0002629539,0.0005269138,2.289538E-06,0.0004551274,5.678934E-05,0.004554142,5.995829E-06,0.005836658,0.0006389017,0.006869227,0.006757458,0.002477305,0.001212717,0.003303623,8.063232E-07,3.256464E-05,8.539276E-05,3.544696E-05,0.001481675,0.004256531,1.43345E-09,0.002016947,0.000213324,0.001526326,0.001679588,2.295446E-08,0.002989685,0.01070186,0.001333515,0.001822443,0.0005914237,0.007897009,0.06197514,0.00159372,0.0009964834,0.001187684,0.0002268949,0.01455577,0.005546994,0.006140694,7.474108E-05,0.001170827,0.06718763,1.696003E-05,0.0002782001,0.0002153209,0.001575092,0.4368173,0.3909594,0.1161429,0.0146551,8.026007E-08,0.004841376,0.0002296869,0.000980546,0.2246356,0.09016362,0.1479131,0.1050645,0.01587387,0.0175836
20,4.162215E-05,0.0001446723,0.0002613239,0.0005269648,2.287439E-06,0.0004531833,5.67008E-05,0.004555814,5.949837E-06,0.005993108,0.000633968,0.006873992,0.005911237,0.002476576,0.001218579,0.003352486,6.3113E-07,2.607569E-05,8.595362E-05,3.627657E-05,0.001488305,0.004238398,1.438222E-09,0.001974135,0.0001872329,0.001527873,0.00167052,1.573826E-08,0.002746345,0.010397,0.001335375,0.001845152,0.0006060682,0.007356704,0.06190275,0.00160326,0.0009932156,0.001219645,0.0002211257,0.01424102,0.00529964,0.00588346,7.300018E-05,0.001152444,0.06916084,1.739173E-05,0.0002727497,0.0002084091,0.001558267,0.4063665,0.3289746,0.1069094,0.01371577,5.175077E-08,0.004059407,0.0002168322,0.0009908517,0.2846948,0.08587662,0.1360707,0.107096,0.01456543,0.01751298
21,4.142091E-05,0.0001445751,0.0002596836,0.0005269552,2.285464E-06,0.000450965,5.660062E-05,0.004553524,5.847598E-06,0.006152716,0.0006253984,0.00685158,0.004977237,0.00247601,0.001220056,0.003383008,4.943814E-07,2.056201E-05,8.654326E-05,3.71646E-05,0.00149471,0.004198632,1.445686E-09,0.001933468,0.0001618975,0.001529821,0.001647107,1.035607E-08,0.002467762,0.01001102,0.001334726,0.001869742,0.0006177397,0.006820369,0.06174337,0.001621571,0.0009874109,0.001251481,0.0002107827,0.0137708,0.00504528,0.005634418,7.135871E-05,0.001136661,0.07118183,1.782693E-05,0.0002634788,0.0001975659,0.001650756,0.3684347,0.2695083,0.09298328,0.01222838,3.27749E-08,0.003300376,0.0001941891,0.001005614,0.3206249,0.07985422,0.1255612,0.109811,0.01326991,0.01746008
22,4.124445E-05,0.0001444852,0.0002581682,0.0005270549,2.283671E-06,0.000449144,5.651289E-05,0.00454397,5.836114E-06,0.006310173,0.0006206968,0.006847267,0.004306818,0.002475034,0.001225375,0.003437659,4.681687E-07,1.627964E-05,8.70876E-05,3.815876E-05,0.001498753,0.004155403,1.453169E-09,0.001894726,0.0001408904,0.001532257,0.001634204,6.564828E-09,0.002180136,0.00968438,0.001333161,0.001895368,0.0006306888,0.006312814,0.06156796,0.001637247,0.0009825444,0.001288138,0.000200519,0.01319998,0.004800142,0.005359477,6.979181E-05,0.001121919,0.07312686,1.808574E-05,0.0002598447,0.0001888975,0.00180668,0.3349298,0.2270641,0.08211704,0.01091871,2.302377E-08,0.00263484,0.0001799461,0.001020784,0.3561566,0.08031896,0.1089644,0.1123518,0.01203018,0.01758637
23,4.111406E-05,0.0001443998,0.0002565576,0.0005272402,2.282053E-06,0.0004478055,5.641893E-05,0.004526986,5.877459E-06,0.006452597,0.0006201608,0.006875706,0.004324557,0.002474509,0.001236475,0.003483528,4.566979E-07,2.263416E-05,8.753032E-05,3.889296E-05,0.001491645,0.004237146,1.459872E-09,0.001856676,0.0001344543,0.001534995,0.001675798,3.921685E-08,0.002153689,0.009870634,0.00133081,0.001920606,0.0006424328,0.006253855,0.06179037,0.001568684,0.0009776084,0.001310012,0.0001975874,0.01337469,0.004745755,0.005342818,6.827141E-05,0.001107141,0.07422468,1.784826E-05,0.0002599184,0.0001762251,0.001867912,0.3659821,0.3034775,0.09368038,0.01131664,2.218972E-08,0.002752358,0.0001814242,0.001029572,0.3795889,0.08980311,0.1024559,0.1114767,0.01187811,0.01759353
24,4.102174E-05,0.0001443309,0.000254832,0.0005274906,2.280533E-06,0.0004467694,5.631949E-05,0.004503367,5.942016E-06,0.006588634,0.0006212665,0.006915119,0.004685932,0.00247332,0.001249513,0.003500445,4.656374E-07,2.829566E-05,8.792749E-05,3.820843E-05,0.001479457,0.004358696,1.467422E-09,0.001820273,0.0001366545,0.001537946,0.001725101,6.883291E-08,0.002577678,0.01010331,0.001329133,0.00194348,0.0006495235,0.006376131,0.06217661,0.001524383,0.000965621,0.001325949,0.0001985394,0.01377308,0.004830536,0.005460707,6.672847E-05,0.0010909,0.07508079,1.726655E-05,0.0002603123,0.0001630951,0.001819177,0.4057112,0.3860383,0.1030681,0.01362,3.297681E-08,0.0032377,0.0001870832,0.001028569,0.3742409,0.09304027,0.1027907,0.1093627,0.01253424,0.01751868
25,3.904281E-05,0.0001649204,0.0002135068,0.0005278554,2.582879E-06,0.0004271535,5.623633E-05,0.004477241,6.00486E-06,0.006723626,0.0006229716,0.006956553,0.005117585,0.0059678,0.001980983,0.00421239,5.339434E-07,4.257766E-05,8.833486E-05,3.709809E-05,0.001855173,0.004379252,1.475664E-09,0.003237372,9.649734E-05,0.001540815,0.001718135,6.394244E-08,0.002580425,0.008331974,0.00220393,0.00197973,0.0006369788,0.006563908,0.06297085,0.001516265,0.0009534464,0.001314875,0.0001999074,0.01423042,0.004965435,0.005646435,8.33602E-05,0.001167923,0.07612313,1.679314E-05,0.0002606213,0.0001616747,0.001719604,0.5004955,0.4746948,0.1190703,0.01957798,5.093245E-08,0.003708695,0.000194425,0.001021315,0.3012945,0.08853912,0.1138322,0.1047184,0.01342876,0.01741781
26,3.905766E-05,0.0001648757,0.0002126274,0.0005282139,2.581098E-06,0.0004272124,5.618424E-05,0.004452457,6.058513E-06,0.00686253,0.0006249583,0.006997149,0.005564915,0.005867607,0.001941853,0.003972897,5.960735E-07,4.343686E-05,8.881612E-05,3.500639E-05,0.001829817,0.004302642,1.483689E-09,0.003065315,9.362776E-05,0.001543316,0.001672396,4.793657E-08,0.002745996,0.00843332,0.002189015,0.001955295,0.0006037939,0.006760225,0.06397858,0.001513786,0.0009457723,0.001275108,0.0001954808,0.01453087,0.005118184,0.005803038,8.161515E-05,0.001149107,0.077398,1.660397E-05,0.0002565508,0.0001687858,0.001683844,0.470355,0.4141482,0.1057218,0.02074323,6.138389E-08,0.003879515,0.0002013536,0.001012025,0.1999039,0.08600315,0.1207833,0.1037862,0.01437827,0.01738778
27,3.913553E-05,0.0001648348,0.0002119872,0.0005286143,2.579233E-06,0.0004277203,5.616781E-05,0.004431449,6.10344E-06,0.007007265,0.0006269868,0.007035989,0.005856114,0.005743426,0.001896016,0.003716055,6.499687E-07,4.484874E-05,8.932505E-05,3.304407E-05,0.001801004,0.004172638,1.491376E-09,0.002965299,8.971494E-05,0.0015453,0.001617482,3.505791E-08,0.002775013,0.008524243,0.002168304,0.001905344,0.0005622442,0.006965472,0.06489302,0.001511428,0.0009416064,0.001225808,0.0001879718,0.01494861,0.005270814,0.00602176,7.993416E-05,0.001131347,0.07870422,1.658001E-05,0.0002516007,0.0001792529,0.001707603,0.4326018,0.3508354,0.09197083,0.02031632,7.332754E-08,0.004156788,0.0002103463,0.001002046,0.1137483,0.08378346,0.130275,0.1029528,0.01528625,0.01739701
