Year,"Blacktip Shark|Blacktip shark","Dusky Shark|Dusky shark","Sandbar Shark|Sandbar shark","Large Coastal Sharks|Large coastal sharks","Large Oceanic Sharks|Large oceanic sharks","Atlantic Sharpnose Shark|Atlantic sharpnose shark","Small Coastal Sharks|Small coastal sharks","Yellowfin Tuna|Yellowfin tuna","Bluefin Tuna|Bluefin tuna","Other Tunas|Other tunas",Billfish|Billfish,Swordfish|Swordfish,"Pelagic Coastal Piscivores|Pelagic coastal piscivores",Amberjack|Amberjack,Cobia|Cobia,"King Mackerel (1+)|King mackerel (1+yr)","Spanish Mackerel (0-1)|Spanish mackerel (0-1yr)","Spanish Mackerel (1+)|Spanish mackerel (1+yr)",Skates-rays|Skates-rays,"Gag grouper (0-3yr)|Gag grouper (0-3yr)","Gag grouper (3+yr)|Gag grouper (3+yr)","Red grouper (3+yr)|Red grouper (3+yr)","Yellowedge grouper (0-3yr)|Yellowedge grouper (0-3yr)","Yellowedge grouper (3+yr)|Yellowedge grouper (3+yr)","Goliath grouper|Goliath grouper","Deep-water grouper|Deep-water grouper","Shallow-water grouper|Shallow-water grouper","Red snapper (0yr)|Red snapper (0yr)","Red snapper (1-2yr)|Red snapper (1-2yr)","Red snapper (3+yr)|Red snapper (3+yr)","Vermilion snapper|Vermilion snapper","Mutton snapper|Mutton snapper","Other snapper|Other snapper","Inshore coastal piscivores|Inshore coastal piscivores","Sea trout|Sea trout","Oceanic piscivores|Oceanic piscivores","Benthic piscivores|Benthic piscivores","Reef piscivores|Reef piscivores","Reef invertebrate feeders|Reef invertebrate feeders","Demersal coastal invertebrate feeders|Demersal coastal invertebrate feeders","Red drum|Red drum","Benthic coastal invertebrate feeders|Benthic coastal invertebrate feeders",Tilefish|Tilefish,"Gray triggerfish|Gray triggerfish","Coastal omnivores|Coastal omnivores","Reef omnivores|Reef omnivores","Surface pelagics|Surface pelagics",Sardine-herring-scad|Sardine-herring-scad,"Menhaden (0yr)|Menhaden (0yr)","Menhaden (1yr)|Menhaden (1yr)","Menhaden (2yr)|Menhaden (2yr)","Menhaden (3yr)|Menhaden (3yr)","Menhaden (4yr)|Menhaden (4yr)",Anchovy-silverside-killifish|Anchovy-silverside-killifish,Mullet|Mullet,Butterfish|Butterfish,Cephalopod|Cephalopod,"Pink shrimp|Pink shrimp","Brown shrimp|Brown shrimp","White shrimp|White shrimp",Crab|Crab,"Sessile epifauna|Sessile epifauna","Mobile epifauna|Mobile epifauna"
11,5.071028E-05,0.0005991843,0.0002617211,0.0005626537,7.302948E-06,0.0005569693,5.520082E-05,0.004450997,6.915443E-06,0.01815317,0.0008170609,0.006686614,0.003410433,0.001334591,0.001191773,0.004191945,8.19735E-07,2.504787E-05,0.0001204506,3.686228E-05,0.001280288,0.00291632,1.496059E-09,0.0006277205,7.706033E-06,0.001606017,0.002026355,2.826772E-08,0.0003895187,0.008071735,0.004101541,0.001422501,0.0004352159,0.001812788,0.0489008,0.001019609,0.0006344099,0.001511856,0.0002204074,0.03494839,0.003564767,0.004439223,9.691397E-05,0.001272948,0.1463834,1.662291E-05,0.0001529029,0.0002258777,0.001824254,0.5660661,0.4527655,0.08805578,0.0234101,9.83805E-08,0.00415771,0.0002469976,0.001112803,0.2169077,0.09381028,0.09674125,0.07811847,0.01203801,0.02777995
12,5.470284E-05,0.0006185392,0.0002264111,0.0005671705,7.555163E-06,0.0005966416,5.548473E-05,0.004503107,6.988856E-06,0.01866611,0.0008352999,0.006573979,0.003344435,0.003091977,0.00132307,0.006079107,8.020191E-07,2.695287E-05,0.0001234953,3.735368E-05,0.001365245,0.003539857,1.466901E-09,0.0005696943,2.767647E-05,0.001609759,0.002065325,2.950175E-08,0.0006438749,0.008326591,0.003904105,0.002015548,0.0004365933,0.001578339,0.04567485,0.0009936708,0.0006178482,0.00151797,0.0002285292,0.03764559,0.003509236,0.00434981,6.736889E-05,0.0009684581,0.14548,1.650291E-05,0.0001513171,0.0002269198,0.001985859,0.648482,0.4684696,0.08932777,0.02351668,9.906176E-08,0.004148679,0.0002449417,0.001121074,0.2099469,0.08790144,0.1094265,0.09757046,0.01185755,0.02886072
13,4.172814E-05,0.0006298122,0.0002199806,0.0005715488,1.071715E-05,0.0004470729,5.560126E-05,0.004549061,7.065566E-06,0.01905871,0.0008502433,0.006498521,0.003273187,0.002270511,0.001662829,0.006682649,7.94254E-07,2.857956E-05,0.0001262423,3.765279E-05,0.001205741,0.003499147,1.457749E-09,0.0007629279,1.868935E-05,0.001612916,0.002101838,2.968238E-08,0.0005514803,0.01108225,0.004539874,0.002486641,0.0004395925,0.001379845,0.04261418,0.0009695331,0.0006036954,0.001516881,0.000236487,0.04024928,0.003463866,0.004263166,7.398337E-05,0.0009173159,0.1433422,1.657415E-05,0.0001497829,0.0002282016,0.002058801,0.7425609,0.4926665,0.0858269,0.02288654,1.003001E-07,0.004167218,0.0002455926,0.001128879,0.1894389,0.08765388,0.1120813,0.1078534,0.01175234,0.02951567
14,3.90278E-05,0.0006522228,0.0001918532,0.0005750813,1.42061E-05,0.0004096979,5.542138E-05,0.004593323,7.148277E-06,0.01936103,0.000861749,0.006465225,0.003307606,0.002413602,0.001722925,0.006290181,9.461706E-07,2.55925E-05,0.0001286199,3.92149E-05,0.001496976,0.003813863,1.410095E-09,0.000569013,3.901885E-05,0.001615601,0.002118895,2.900778E-08,0.0009057412,0.01195907,0.004216112,0.001898662,0.0004391358,0.001230099,0.03993851,0.0009409869,0.0005922876,0.001501141,0.0002475166,0.04422118,0.003458423,0.00429685,0.0001010234,0.000951617,0.1395712,1.675737E-05,0.0001489701,0.0002342457,0.00207248,0.754411,0.5175478,0.09043143,0.02123086,1.154963E-07,0.004567724,0.0002173204,0.001130152,0.2284563,0.09221027,0.1057739,0.09791244,0.01194773,0.02905965
15,3.602344E-05,0.0006910318,0.0002359368,0.0005787954,1.407703E-05,0.0004987415,5.543107E-05,0.004636612,7.303997E-06,0.01960253,0.0008744876,0.006460794,0.003350888,0.002138705,0.001534737,0.007533826,7.770207E-07,2.787738E-05,0.0001310633,3.746032E-05,0.001248082,0.003378643,1.371239E-09,0.0007695348,5.143485E-05,0.001615863,0.002147625,2.712921E-08,0.0003369093,0.01032166,0.004040434,0.001409921,0.0004301567,0.00106447,0.03762633,0.0009679962,0.0005941198,0.001476799,0.0002511764,0.04621781,0.003411377,0.00410436,0.0001325434,0.0009470047,0.1386857,1.698494E-05,0.0001421215,0.0002577015,0.002020358,0.839098,0.5023026,0.09741307,0.02208274,9.210192E-08,0.004001077,0.0002315443,0.001132206,0.2029503,0.08917826,0.1185561,0.09548952,0.01191359,0.02859952
16,3.209939E-05,0.0007368293,0.0002208484,0.0005826352,1.935628E-05,0.0004348245,5.54673E-05,0.004643586,7.388503E-06,0.01977928,0.0008907619,0.006537828,0.003200434,0.001625326,0.001238265,0.007748598,8.395302E-07,2.134598E-05,0.0001328639,4.030045E-05,0.001361282,0.003436821,1.36114E-09,0.00059983,4.917815E-05,0.001617508,0.00228584,2.960145E-08,0.00021914,0.009839042,0.004422402,0.001531585,0.0004691676,0.0009245977,0.035141,0.0009609599,0.0005896401,0.001507042,0.0002677721,0.04799522,0.003350012,0.003965172,0.000151364,0.00107122,0.1364602,1.682938E-05,0.0001458215,0.0002557889,0.001988396,0.6277073,0.4602686,0.08661187,0.02026329,1.121415E-07,0.00422633,0.0002490609,0.001139277,0.2551277,0.09117628,0.08570927,0.1105161,0.01144832,0.02930691
17,4.088943E-05,0.0007884791,0.0002402793,0.0005865603,2.459594E-05,0.0004384979,5.528598E-05,0.004664486,7.487988E-06,0.01989742,0.0008902771,0.006570696,0.003165406,0.002242128,0.001621193,0.005963592,7.027946E-07,1.68094E-05,0.0001347416,3.523097E-05,0.0009570397,0.002845174,1.358965E-09,0.000379613,1.247933E-05,0.001621052,0.00210276,3.104909E-08,0.0001663352,0.01018414,0.003211444,0.001338129,0.0004378753,0.0008046811,0.03292749,0.0009092439,0.0005768578,0.001466808,0.0002549175,0.04818451,0.003317742,0.003844858,7.149408E-05,0.0006893181,0.1385328,1.682377E-05,0.0001393747,0.0002433176,0.001872253,0.4274337,0.4371556,0.08558013,0.02142949,9.56249E-08,0.00389978,0.0002615395,0.001144208,0.1887382,0.08403552,0.08209438,0.1009403,0.01154738,0.0293614
18,3.43853E-05,0.000839387,0.0001838583,0.0005907228,1.900805E-05,0.0004701662,5.50188E-05,0.004693664,7.560665E-06,0.01998158,0.0008908305,0.00661185,0.003126113,0.001903925,0.00191106,0.006277402,7.838128E-07,1.564237E-05,0.0001361513,4.142536E-05,0.0009646048,0.003432919,1.328937E-09,0.0005032643,4.756742E-05,0.001621918,0.002249168,2.877827E-08,0.0003132915,0.01148761,0.004381573,0.0011089,0.0004556869,0.0007222929,0.03073874,0.0008873898,0.0005740607,0.001465698,0.0002520712,0.05142677,0.003350985,0.003869028,0.0001135773,0.0006950716,0.1380392,1.667927E-05,0.0001402198,0.000241227,0.001828743,0.4028597,0.5711953,0.09078325,0.02376405,1.069977E-07,0.004310757,0.0002762896,0.001139739,0.2319002,0.08694282,0.1177736,0.07989438,0.01195943,0.02907483
19,4.075913E-05,0.0008708243,0.0001826434,0.0005951253,2.005889E-05,0.0005445944,5.504406E-05,0.004733233,7.664433E-06,0.02006009,0.0008833252,0.006600664,0.003184582,0.001696785,0.001311923,0.005420092,7.634852E-07,1.413924E-05,0.0001376681,3.935321E-05,0.001155022,0.002810494,1.30451E-09,0.0004674098,5.403656E-05,0.001622634,0.002228849,2.482413E-08,0.0001565646,0.009801044,0.003309768,0.001257502,0.0004377101,0.0006544935,0.02885804,0.0009488945,0.0005670364,0.001423438,0.0002402758,0.05466576,0.00334394,0.003906399,0.0001002686,0.0007011495,0.1358334,1.694495E-05,0.0001383178,0.0002394637,0.001980813,0.3481047,0.4089757,0.08414391,0.01897175,9.697735E-08,0.00414136,0.0002469879,0.001145867,0.1706573,0.09484317,0.1120961,0.08505069,0.01185346,0.02862715
20,1.96069E-05,0.0008697259,0.0001841561,0.0005995776,1.627629E-05,0.0005333691,5.494684E-05,0.004750242,7.802134E-06,0.02012373,0.0008854636,0.006610456,0.003150523,0.001734245,0.001809523,0.005205311,8.021195E-07,1.595518E-05,0.0001384557,4.694531E-05,0.0008477319,0.004342471,1.296059E-09,0.0006410926,3.341134E-05,0.00162646,0.002543713,3.177797E-08,0.0001728974,0.009636516,0.004593652,0.00128608,0.0004991499,0.0005798088,0.02690435,0.0009035747,0.0005490628,0.001480582,0.0002424564,0.0581571,0.00327341,0.003801166,0.0001236014,0.000679479,0.129792,1.669376E-05,0.0001420083,0.0002250205,0.001907523,0.4719504,0.6392705,0.112136,0.02888661,1.081286E-07,0.004396647,0.0002394892,0.001153343,0.2396905,0.08825704,0.09624355,0.09314638,0.01117698,0.02807517
21,3.77449E-05,0.0007974519,0.0001005754,0.0006016503,1.375954E-05,0.000475539,5.439726E-05,0.004746342,7.930209E-06,0.0201137,0.0008909861,0.006621018,0.003203801,0.001963896,0.0017096,0.005858738,8.965117E-07,1.532672E-05,0.0001386225,4.684722E-05,0.0009828501,0.004016418,1.288953E-09,0.0006837351,0.0001232897,0.00162874,0.002626869,3.209648E-08,7.970608E-05,0.01013656,0.003173172,0.001018966,0.0005286862,0.000511223,0.02474165,0.000823562,0.000540419,0.001515802,0.0002496042,0.06018502,0.003247613,0.003697615,0.0001469079,0.0005477135,0.1277596,1.701389E-05,0.0001431879,0.0002258514,0.002111873,0.3357106,0.4906285,0.08840848,0.02089019,1.246899E-07,0.004686039,0.0002412788,0.0011532,0.2292498,0.09397864,0.0958513,0.08492325,0.01135198,0.02801617
22,2.211132E-05,0.0006687368,0.0001401674,0.0006049311,1.422041E-05,0.0004169566,5.414569E-05,0.004734594,8.094424E-06,0.02016181,0.0008997174,0.006662883,0.003074361,0.00182432,0.001835597,0.005264123,7.631085E-07,1.832773E-05,0.0001389478,4.321515E-05,0.0009973279,0.003317898,1.284527E-09,0.000472906,9.97778E-05,0.001629307,0.002599157,2.849161E-08,0.000107263,0.01055726,0.004594897,0.000905271,0.0005174927,0.0004516549,0.02311122,0.0008517085,0.0005430612,0.001510219,0.0002582887,0.06003034,0.003266176,0.003463875,0.0001388666,0.0006331145,0.1282891,1.714425E-05,0.0001416098,0.0002438531,0.001945798,0.3153775,0.4679843,0.08880617,0.02071638,1.089072E-07,0.004320387,0.0002639329,0.001148892,0.2336814,0.08900102,0.07637339,0.06435985,0.01174081,0.02839151
23,2.238946E-05,0.0005271658,0.0001326746,0.0006083028,1.612454E-05,0.0004019182,5.420102E-05,0.004725433,8.196682E-06,0.02024419,0.0009100478,0.006728041,0.00299082,0.002198714,0.001501442,0.003806765,8.527542E-07,1.478949E-05,0.0001391464,4.40325E-05,0.0008895111,0.003361795,1.275103E-09,0.0004694757,8.057427E-05,0.001627776,0.002715778,2.499526E-08,0.0001387952,0.01129289,0.004263946,0.001255489,0.0005414167,0.0004157296,0.02169411,0.0008792319,0.0005474614,0.001522527,0.0002724057,0.06178286,0.00325613,0.003377104,0.0001473061,0.0008047454,0.126301,1.700783E-05,0.0001438545,0.0002612627,0.001998241,0.3687035,0.55229,0.1150002,0.0270316,1.111812E-07,0.004449181,0.0002720746,0.001148375,0.2458791,0.09288422,0.09392046,0.07526077,0.01155366,0.02868066
24,2.306548E-05,0.0004099321,0.0001263903,0.0006120171,1.789058E-05,0.0004311523,5.434555E-05,0.00471072,8.258766E-06,0.02037886,0.0009119781,0.006767185,0.002961647,0.002734253,0.002139887,0.003351724,5.344762E-07,1.516546E-05,0.0001400281,3.780448E-05,0.000781021,0.002588741,1.264318E-09,0.0006688614,0.0001314169,0.001628723,0.002504321,2.946657E-08,9.265871E-05,0.01045301,0.004284636,0.00135276,0.0005023768,0.0003711733,0.02077038,0.0009004718,0.0005488088,0.001494059,0.0002549245,0.05984801,0.003166077,0.003160924,0.0001100858,0.0009156025,0.1238945,1.656271E-05,0.0001315384,0.0002648883,0.001697624,0.3851899,0.4219007,0.1022997,0.02647142,7.48138E-08,0.00350962,0.0002401768,0.001153898,0.1706541,0.08950148,0.06995591,0.07351636,0.01107148,0.02882493
25,2.208661E-05,0.0003243188,0.0001186485,0.0006140149,1.642984E-05,0.0003748009,5.439503E-05,0.004717139,8.270616E-06,0.02037247,0.0009036274,0.006765224,0.002919316,0.002514602,0.001832355,0.003069136,5.399713E-07,1.546321E-05,0.0001412831,3.908002E-05,0.0009316641,0.003541608,1.259479E-09,0.0005280333,9.286118E-05,0.001630147,0.002424053,2.804261E-08,0.0001086024,0.01192266,0.003978033,0.001117599,0.0004844393,0.0003508712,0.01992848,0.0008842193,0.0005422379,0.001476702,0.0002368261,0.05894335,0.003210835,0.003156814,0.0001302764,0.001057602,0.1262955,1.653293E-05,0.0001241135,0.0002474428,0.001379031,0.3270757,0.5037273,0.08886107,0.02913274,8.219116E-08,0.003548713,0.0002634332,0.001152222,0.2010759,0.07959951,0.05004026,0.06965499,0.01142869,0.02799186
26,2.026561E-05,0.0002702597,0.0001168961,0.0006157285,1.510939E-05,0.0002621002,5.469728E-05,0.004764088,8.381913E-06,0.02039124,0.0008944456,0.006726013,0.0028963,0.002215625,0.001485782,0.002704317,6.28563E-07,1.175014E-05,0.0001426529,4.363841E-05,0.0006930484,0.002784139,1.249471E-09,0.0004389947,0.000117645,0.00163146,0.002431451,2.788484E-08,8.370532E-05,0.009777951,0.003818516,0.0009851226,0.0004846989,0.0003314019,0.01876236,0.0009035468,0.0005436092,0.001472649,0.0002368071,0.06053603,0.003196125,0.003202501,0.0001587701,0.0008036236,0.1291694,1.672438E-05,0.0001231126,0.0002432446,0.00177887,0.2182448,0.3835995,0.0866591,0.02074342,9.010021E-08,0.003885371,0.0002469234,0.001145522,0.1777505,0.07420409,0.05399837,0.05593508,0.01124805,0.02585171
27,2.126095E-05,0.0002370595,0.0001537227,0.0006169051,1.392863E-05,0.000273094,5.526258E-05,0.004815215,8.586775E-06,0.02025412,0.0008910037,0.006693674,0.002916396,0.001866837,0.001718326,0.002912008,7.308759E-07,1.390247E-05,0.0001436485,4.443519E-05,0.000819315,0.00365512,1.233025E-09,0.0004122724,0.0001130037,0.001632429,0.002450426,3.069584E-08,9.271746E-05,0.01014491,0.00374464,0.00141064,0.0004900779,0.0003120329,0.01751567,0.000878951,0.0005423374,0.001445984,0.0002380766,0.06246366,0.003200651,0.003297284,9.22181E-05,0.0006179138,0.1337277,1.694723E-05,0.0001211638,0.0002402371,0.001894169,0.2733558,0.3891136,0.08311368,0.02403889,8.911326E-08,0.003980643,0.0002315111,0.001146008,0.163662,0.0855611,0.07909828,0.07898872,0.01129566,0.02334397
